state,county,FIPS,SVI_sum_of_indicators,SVI_ranking,percent_uninsured
COLORADO,Park,8093,1.9147,0,11.6
ILLINOIS,Monroe,17133,2.4187,0.0003,4.2
NEBRASKA,Loup,31115,2.5091,0.0006,9.2
NEVADA,Eureka,32011,2.5842,0.001,16.6
MONTANA,Petroleum,30069,2.5985,0.0013,22.9
NEBRASKA,Sioux,31165,2.6001,0.0016,10.6
NORTH DAKOTA,Kidder,38043,2.6049,0.0019,8.3
UTAH,Morgan,49029,2.6052,0.0022,8.2
NEBRASKA,Keya Paha,31103,2.6714,0.0025,6.9
ILLINOIS,Piatt,17147,2.7176,0.0029,4.3
NORTH DAKOTA,Steele,38091,2.7345,0.0032,4.9
NEBRASKA,Thomas,31171,2.738,0.0035,7.4
MONTANA,Judith Basin,30045,2.8201,0.0038,10.6
VIRGINIA,Poquoson City,51735,2.8294,0.0041,3.9
COLORADO,Elbert,8039,2.9023,0.0045,7.4
MONTANA,Daniels,30019,3.0166,0.0048,5.2
NORTH DAKOTA,Billings,38007,3.0408,0.0051,8.7
IOWA,Grundy,19075,3.0659,0.0054,3.6
MONTANA,McCone,30055,3.1194,0.0057,5.6
VIRGINIA,New Kent,51127,3.134,0.006,6.3
NEBRASKA,Wheeler,31183,3.1347,0.0064,5
NEBRASKA,Gosper,31073,3.1452,0.0067,8.3
VIRGINIA,Rappahannock,51157,3.1882,0.007,15.5
VERMONT,Grand Isle,50013,3.192,0.0073,4.1
COLORADO,Gilpin,8047,3.1945,0.0076,10.6
NEBRASKA,Arthur,31005,3.2085,0.008,10.5
NEBRASKA,Hamilton,31081,3.2101,0.0083,5
KANSAS,Trego,20195,3.2136,0.0086,7.4
MICHIGAN,Livingston,26093,3.2219,0.0089,5.4
SOUTH DAKOTA,Sully,46119,3.2436,0.0092,10.9
MONTANA,Garfield,30033,3.2668,0.0096,15.2
NEBRASKA,Rock,31149,3.2709,0.0099,15
IOWA,Winneshiek,19191,3.2763,0.0102,3.9
NEW HAMPSHIRE,Rockingham,33015,3.2881,0.0105,6.5
WYOMING,Crook,56011,3.2881,0.0105,11.2
IOWA,Cedar,19031,3.3034,0.0111,3.6
KANSAS,Hodgeman,20083,3.3263,0.0115,8.7
VIRGINIA,Powhatan,51145,3.3356,0.0118,8.4
COLORADO,Clear Creek,8019,3.3489,0.0121,9.2
WISCONSIN,Ozaukee,55089,3.3575,0.0124,3.8
SOUTH DAKOTA,Jones,46075,3.3677,0.0127,14.5
TEXAS,Roberts,48393,3.3824,0.0131,12.6
WYOMING,Sublette,56035,3.3849,0.0134,13.8
NEBRASKA,Garden,31069,3.391,0.0137,10.5
WISCONSIN,Washington,55131,3.3922,0.014,4.7
NORTH DAKOTA,Sargent,38081,3.3935,0.0143,4.9
OHIO,Delaware,39041,3.4126,0.0146,4.1
NORTH DAKOTA,Nelson,38063,3.4241,0.015,6.7
OHIO,Putnam,39137,3.4317,0.0153,4
COLORADO,Ouray,8091,3.4343,0.0156,12.4
MONTANA,Fallon,30025,3.4413,0.0159,11.5
NORTH DAKOTA,Cavalier,38019,3.4448,0.0162,4.3
NORTH DAKOTA,Renville,38075,3.446,0.0166,5
MASSACHUSETTS,Dukes,25007,3.4524,0.0169,7.4
NORTH DAKOTA,Adams,38001,3.4597,0.0172,6.8
COLORADO,Douglas,8035,3.4642,0.0175,4.3
VIRGINIA,Mathews,51115,3.4868,0.0178,8.4
TENNESSEE,Williamson,47187,3.4881,0.0181,5.2
SOUTH DAKOTA,Deuel,46039,3.4979,0.0185,5.5
NEBRASKA,Pierce,31139,3.5116,0.0188,4.9
NEBRASKA,Hayes,31085,3.5145,0.0191,19
IOWA,Audubon,19009,3.5148,0.0194,6.4
SOUTH DAKOTA,Lincoln,46083,3.5355,0.0197,4.8
INDIANA,Posey,18129,3.5552,0.0201,5.5
NORTH DAKOTA,LaMoure,38045,3.5677,0.0204,6.1
OHIO,Medina,39103,3.5705,0.0207,5.9
NEBRASKA,Cass,31025,3.5762,0.021,5.9
ILLINOIS,Putnam,17155,3.5855,0.0213,7
IOWA,Bremer,19017,3.5995,0.0216,3.4
MINNESOTA,Carver,27019,3.6055,0.022,3.7
IOWA,Butler,19023,3.6103,0.0223,5
NEBRASKA,Dundy,31057,3.6224,0.0226,12
NEBRASKA,Cedar,31027,3.6304,0.0229,5.8
ALASKA,Denali,2068,3.6371,0.0232,23.2
KANSAS,Lane,20101,3.6501,0.0236,8.9
NEBRASKA,Perkins,31135,3.6705,0.0239,5.6
SOUTH DAKOTA,Hanson,46061,3.6721,0.0242,7.4
ILLINOIS,Woodford,17203,3.674,0.0245,4.4
KANSAS,Ottawa,20143,3.6804,0.0248,7.8
IOWA,Benton,19011,3.6826,0.0252,3.3
VIRGINIA,Botetourt,51023,3.6858,0.0255,5
VIRGINIA,Hanover,51085,3.6864,0.0258,5.7
MARYLAND,Queen Anne's,24035,3.6883,0.0261,5
NORTH DAKOTA,Slope,38087,3.6966,0.0264,7.7
WISCONSIN,Waukesha,55133,3.702,0.0267,3.9
INDIANA,Hamilton,18057,3.7042,0.0271,6
INDIANA,Hancock,18059,3.7049,0.0274,8.6
VIRGINIA,Gloucester,51073,3.7071,0.0277,10.7
NEBRASKA,Saunders,31155,3.7163,0.028,5.1
SOUTH DAKOTA,Sanborn,46111,3.7211,0.0283,6.8
KANSAS,Rawlins,20153,3.7329,0.0287,6
MINNESOTA,Wabasha,27157,3.7638,0.029,5.1
IOWA,Kossuth,19109,3.7736,0.0293,4.5
SOUTH DAKOTA,Hand,46059,3.7759,0.0296,6.2
NORTH DAKOTA,Sheridan,38083,3.7819,0.0299,6.9
NORTH DAKOTA,Oliver,38065,3.7832,0.0302,11.5
SOUTH DAKOTA,Union,46127,3.7838,0.0306,6.4
IOWA,Lyon,19119,3.7988,0.0309,7.6
NORTH DAKOTA,Divide,38023,3.8032,0.0312,6.3
ILLINOIS,Jasper,17079,3.8103,0.0315,6.7
WISCONSIN,Calumet,55015,3.816,0.0318,3.5
VIRGINIA,Fauquier,51061,3.8274,0.0322,8.6
NEW JERSEY,Sussex,34037,3.829,0.0325,7.2
SOUTH DAKOTA,Campbell,46021,3.8344,0.0328,5.2
GEORGIA,Oconee,13219,3.8351,0.0331,8.8
MONTANA,Carbon,30009,3.8411,0.0334,11.4
MONTANA,Powder River,30075,3.8615,0.0337,13.6
NORTH DAKOTA,Bottineau,38009,3.8621,0.0341,6.9
KENTUCKY,Oldham,21185,3.8946,0.0344,4.2
MONTANA,Broadwater,30007,3.9105,0.0347,12.2
MONTANA,Jefferson,30043,3.9137,0.035,9.5
GEORGIA,Forsyth,13117,3.9169,0.0353,9.9
WISCONSIN,St. Croix,55109,3.9191,0.0357,5.7
NEBRASKA,Kearney,31099,3.9233,0.036,8.1
NEW JERSEY,Hunterdon,34019,3.9245,0.0363,4
MARYLAND,Carroll,24013,3.9303,0.0366,4.4
WISCONSIN,Oneida,55085,3.9331,0.0369,6.6
WEST VIRGINIA,Putnam,54079,3.9344,0.0372,7.5
MICHIGAN,Leelanau,26089,3.936,0.0376,7.9
NEBRASKA,Washington,31177,3.9382,0.0379,5.6
COLORADO,Mineral,8079,3.9389,0.0382,7.6
ILLINOIS,Jo Daviess,17085,3.9401,0.0385,6.5
MINNESOTA,Lac qui Parle,27073,3.9545,0.0388,4.4
KANSAS,Jewell,20089,3.9564,0.0392,7.8
TEXAS,Borden,48033,3.9634,0.0395,3.9
IOWA,Madison,19121,3.965,0.0398,5.6
NORTH DAKOTA,Logan,38047,3.9815,0.0401,4.5
KANSAS,Smith,20183,4.0029,0.0404,6.7
COLORADO,San Juan,8111,4.0057,0.0408,18.1
IOWA,Adams,19003,4.0076,0.0411,7.7
NEBRASKA,Greeley,31077,4.0146,0.0414,6.7
MINNESOTA,Douglas,27041,4.0175,0.0417,4.7
SOUTH DAKOTA,Harding,46063,4.0175,0.042,7.2
VIRGINIA,King George,51099,4.0188,0.0423,7.6
VIRGINIA,King William,51101,4.0264,0.0427,8.2
NEBRASKA,Boone,31011,4.0309,0.043,6.5
INDIANA,Boone,18011,4.0331,0.0433,7.3
NORTH DAKOTA,Pembina,38067,4.0366,0.0436,8.6
MISSOURI,St. Charles,29183,4.0548,0.0439,6.1
NORTH DAKOTA,Foster,38031,4.0573,0.0443,7.5
VIRGINIA,Goochland,51075,4.0643,0.0446,5.6
WISCONSIN,Door,55029,4.0802,0.0449,5.1
MINNESOTA,Pope,27121,4.0815,0.0452,5.1
ILLINOIS,Marshall,17123,4.0885,0.0455,5.3
MINNESOTA,Houston,27055,4.0952,0.0458,4.8
MISSOURI,Andrew,29003,4.1067,0.0462,7.3
NEBRASKA,Howard,31093,4.1092,0.0465,5.1
WISCONSIN,Iowa,55049,4.1133,0.0468,6
KANSAS,Thomas,20193,4.1149,0.0471,7
NORTH DAKOTA,McHenry,38049,4.1159,0.0474,7.1
SOUTH DAKOTA,Grant,46051,4.1172,0.0478,5.1
WYOMING,Lincoln,56023,4.1203,0.0481,11
COLORADO,Teller,8119,4.1207,0.0484,8.6
NEW MEXICO,Los Alamos,35028,4.135,0.0487,5.3
MICHIGAN,Clinton,26037,4.1611,0.049,5.4
COLORADO,Jackson,8057,4.1636,0.0493,12.2
NORTH DAKOTA,Griggs,38039,4.1716,0.0497,6.9
WISCONSIN,Pierce,55093,4.1757,0.05,6.2
IOWA,Hancock,19081,4.1786,0.0503,4.9
IOWA,Adair,19001,4.1802,0.0506,6.3
MONTANA,Carter,30011,4.1818,0.0509,16.1
NEVADA,Storey,32029,4.1875,0.0513,12.4
IOWA,Iowa,19095,4.1885,0.0519,5.8
COLORADO,Hinsdale,8053,4.1885,0.0516,11.9
SOUTH DAKOTA,Kingsbury,46077,4.1888,0.0522,6.4
KANSAS,Republic,20157,4.191,0.0525,7
COLORADO,Routt,8107,4.2018,0.0528,11.5
MINNESOTA,Dodge,27039,4.2018,0.0532,5.1
NORTH DAKOTA,Morton,38059,4.2044,0.0535,5.6
IOWA,Dallas,19049,4.206,0.0538,4.2
WISCONSIN,Green,55045,4.2292,0.0541,5.3
WISCONSIN,Oconto,55083,4.2305,0.0544,5.9
MAINE,Sagadahoc,23023,4.2308,0.0548,7.8
IOWA,Buchanan,19019,4.2327,0.0551,7.9
COLORADO,Broomfield,8014,4.2337,0.0554,5.5
OKLAHOMA,Roger Mills,40129,4.2353,0.0557,11.4
NEBRASKA,Franklin,31061,4.2353,0.056,6.7
NEBRASKA,Garfield,31071,4.2365,0.0564,8.8
KANSAS,Sheridan,20179,4.2404,0.0567,10.2
NEBRASKA,Frontier,31063,4.2429,0.057,10.3
OHIO,Warren,39165,4.2471,0.0573,5.1
INDIANA,Ohio,18115,4.2521,0.0576,8.5
COLORADO,Pitkin,8097,4.2528,0.0579,13.7
SOUTH DAKOTA,Edmunds,46045,4.2636,0.0583,7.2
OHIO,Auglaize,39011,4.2649,0.0586,5.5
INDIANA,Brown,18013,4.2671,0.0589,11.7
MONTANA,Park,30067,4.2735,0.0592,13.6
COLORADO,San Miguel,8113,4.2773,0.0595,12.4
KANSAS,Johnson,20091,4.2783,0.0599,6.7
NEBRASKA,Cheyenne,31033,4.2814,0.0602,6.6
MONTANA,Sweet Grass,30097,4.284,0.0605,10.6
KANSAS,McPherson,20113,4.2849,0.0608,6
NEBRASKA,Logan,31113,4.2872,0.0611,11.6
MONTANA,Stillwater,30095,4.29,0.0614,10.6
KANSAS,Clay,20027,4.2929,0.0618,6.5
MINNESOTA,Lincoln,27081,4.2945,0.0621,6.5
IOWA,Mitchell,19131,4.2954,0.0624,9.4
NORTH DAKOTA,McLean,38055,4.2961,0.0627,7.9
OHIO,Mercer,39107,4.3002,0.063,5.6
NEBRASKA,McPherson,31117,4.3012,0.0634,2.1
INDIANA,Warren,18171,4.3028,0.0637,6.2
KANSAS,Gove,20063,4.3056,0.064,11.4
OKLAHOMA,Grant,40053,4.3082,0.0643,8.3
ILLINOIS,Mercer,17131,4.3155,0.0646,4
IOWA,Delaware,19055,4.3168,0.0649,3.9
VIRGINIA,Fluvanna,51065,4.32,0.0653,8.1
MONTANA,Gallatin,30031,4.3222,0.0659,10.2
NEW YORK,Saratoga,36091,4.3222,0.0656,4.4
NEW HAMPSHIRE,Carroll,33003,4.3225,0.0662,12.8
IOWA,Sac,19161,4.3231,0.0669,6.4
MISSOURI,Osage,29151,4.3231,0.0665,6.3
NEBRASKA,Thayer,31169,4.3254,0.0672,5.7
CONNECTICUT,Tolland,9013,4.3397,0.0675,4
KANSAS,Miami,20121,4.34,0.0678,6.9
MONTANA,Sheridan,30091,4.3442,0.0681,7.7
IOWA,Dickinson,19059,4.3493,0.0684,4.8
KANSAS,Graham,20065,4.3496,0.0688,8.2
MASSACHUSETTS,Barnstable,25001,4.3508,0.0691,3.5
UTAH,Summit,49043,4.3553,0.0694,10.5
NORTH DAKOTA,Grant,38037,4.3591,0.0697,8
WISCONSIN,Kewaunee,55061,4.3601,0.07,4.4
INDIANA,Hendricks,18063,4.3613,0.0704,7.5
NORTH DAKOTA,Burke,38013,4.3633,0.0707,10.8
TEXAS,Carson,48065,4.3709,0.071,12.3
ILLINOIS,Washington,17189,4.3715,0.0713,5.8
ILLINOIS,Tazewell,17179,4.3731,0.0716,5.4
NEBRASKA,Fillmore,31059,4.3734,0.0723,9.3
COLORADO,Summit,8117,4.3734,0.072,19.5
MINNESOTA,Scott,27139,4.3836,0.0726,5.1
SOUTH DAKOTA,Potter,46107,4.39,0.0729,7.2
SOUTH DAKOTA,Jerauld,46073,4.3957,0.0732,7.2
MINNESOTA,Jackson,27063,4.405,0.0735,4.1
IOWA,Carroll,19027,4.4094,0.0739,3.3
MINNESOTA,Washington,27163,4.4222,0.0745,4.1
KANSAS,Rush,20165,4.4222,0.0742,8.1
COLORADO,Jefferson,8059,4.4247,0.0748,8
NORTH DAKOTA,Wells,38103,4.4257,0.0751,6
NEBRASKA,Grant,31075,4.432,0.0755,12.1
MINNESOTA,Wright,27171,4.433,0.0758,4.2
SOUTH DAKOTA,Faulk,46049,4.4409,0.0761,9.4
WYOMING,Teton,56039,4.4514,0.0764,14.7
IOWA,Ida,19093,4.4546,0.0767,5.7
NEBRASKA,Stanton,31167,4.4556,0.077,10
PENNSYLVANIA,Butler,42019,4.4588,0.0774,5.1
UTAH,Daggett,49009,4.4613,0.0777,4
NEBRASKA,Blaine,31009,4.4635,0.078,19.5
INDIANA,Dearborn,18029,4.4645,0.0783,8.4
IOWA,Fremont,19071,4.467,0.0786,7.2
IOWA,Harrison,19085,4.4683,0.079,7.8
WISCONSIN,Buffalo,55011,4.4696,0.0793,6.7
MONTANA,Golden Valley,30037,4.4715,0.0796,15.2
KANSAS,Marshall,20117,4.4798,0.0799,7.8
NEBRASKA,Banner,31007,4.4909,0.0802,10.2
GEORGIA,Fayette,13113,4.4967,0.0805,7.7
