state,county,2010_population,2015_population
Iowa,Adair,7682,7145
Kentucky,Adair,18656,19162
Missouri,Adair,25607,25353
Oklahoma,Adair,22683,22259
Colorado,Adams,441603,490443
Idaho,Adams,3976,3891
Illinois,Adams,67103,66835
Indiana,Adams,34387,34945
Iowa,Adams,4029,3754
Mississippi,Adams,32297,31561
Nebraska,Adams,31364,31567
North Dakota,Adams,2343,2397
Ohio,Adams,28550,27926
Pennsylvania,Adams,101407,101808
Washington,Adams,18728,19233
Wisconsin,Adams,20875,20028
New York,Albany,304204,307433
Wyoming,Albany,36299,37960
Illinois,Alexander,8238,6762
North Carolina,Alexander,37198,36960
Maryland,Allegany,75087,72462
New York,Allegany,48946,47334
North Carolina,Alleghany,11155,10856
Virginia,Alleghany,16250,15425
Indiana,Allen,355329,367362
Kansas,Allen,13371,12683
Kentucky,Allen,19956,20660
Louisiana,Allen,25764,25631
Ohio,Allen,106331,104095
Kansas,Anderson,8102,7816
Kentucky,Anderson,21421,21920
South Carolina,Anderson,187126,193700
Tennessee,Anderson,75129,75456
Texas,Anderson,58458,57639
Arkansas,Arkansas,19019,18330
Pennsylvania,Armstrong,68941,66860
Texas,Armstrong,1901,1901
Ohio,Ashland,53139,53310
Wisconsin,Ashland,16157,15804
Kansas,Atchison,16924,16418
Missouri,Atchison,5685,5295
Florida,Baker,27115,27355
Georgia,Baker,3451,3194
Oregon,Baker,16134,15882
Alabama,Baldwin,182265,202939
Georgia,Baldwin,45720,45549
Maryland,Baltimore,805029,827533
Maryland,Baltimore,620961,622522
Alabama,Barbour,27457,26283
West Virginia,Barbour,16589,16973
Michigan,Barry,59173,59426
Missouri,Barry,35597,35293
Kansas,Barton,27674,27159
Missouri,Barton,12402,11825
Kentucky,Bath,11591,12203
Virginia,Bath,4731,4460
Florida,Bay,168852,181488
Michigan,Bay,107771,105237
North Carolina,Beaufort,47759,47389
South Carolina,Beaufort,162233,179796
Oklahoma,Beaver,5636,5455
Pennsylvania,Beaver,170539,168241
Utah,Beaver,6629,6353
Pennsylvania,Bedford,49762,48748
Tennessee,Bedford,45058,46948
Virginia,Bedford,68676,77629
Kentucky,Bell,28691,27370
Texas,Bell,310235,336076
Arkansas,Benton,221339,251591
Indiana,Benton,8854,8693
Iowa,Benton,26076,25608
Minnesota,Benton,38451,39422
Mississippi,Benton,8729,8155
Missouri,Benton,19056,18791
Oregon,Benton,85579,88333
Tennessee,Benton,16489,16220
Washington,Benton,175177,190218
South Carolina,Berkeley,177843,203066
West Virginia,Berkeley,104169,111678
Georgia,Berrien,19286,18991
Michigan,Berrien,156813,155022
Alabama,Bibb,22915,22566
Georgia,Bibb,155547,153945
Montana,Big Horn,12865,13312
Wyoming,Big Horn,11668,11945
Idaho,Blaine,21376,21636
Montana,Blaine,6491,6680
Nebraska,Blaine,478,477
Oklahoma,Blaine,11943,9762
Alabama,Blount,57322,57526
Tennessee,Blount,123010,126954
Arkansas,Boone,36903,37119
Illinois,Boone,54165,53579
Indiana,Boone,56640,63033
Iowa,Boone,26306,26443
Kentucky,Boone,118811,128161
Missouri,Boone,162642,174404
Nebraska,Boone,5505,5310
West Virginia,Boone,24629,23252
Kansas,Bourbon,15173,14733
Kentucky,Bourbon,19985,20166
Kentucky,Boyd,49542,48471
Nebraska,Boyd,2099,2002
Florida,Bradford,28520,26748
Pennsylvania,Bradford,62622,61644
Arkansas,Bradley,11508,10999
Tennessee,Bradley,98963,103774
Massachusetts,Bristol,548285,556863
Rhode Island,Bristol,49875,49127
Georgia,Brooks,16243,15670
Texas,Brooks,7223,7190
Illinois,Brown,6937,6753
Indiana,Brown,15242,14994
Kansas,Brown,9984,9708
Minnesota,Brown,25893,25240
Nebraska,Brown,3145,2982
Ohio,Brown,44846,43697
South Dakota,Brown,36531,38400
Texas,Brown,38106,37736
Wisconsin,Brown,248007,257856
North Carolina,Brunswick,107431,122211
Virginia,Brunswick,17434,16845
Georgia,Bryan,30233,34792
Oklahoma,Bryan,42416,45021
Iowa,Buchanan,20958,21105
Missouri,Buchanan,89201,89082
Virginia,Buchanan,24098,22752
Iowa,Buena Vista,20260,20374
Virginia,Buena Vista,6650,6529
Nebraska,Buffalo,46102,48578
South Dakota,Buffalo,1912,2098
Wisconsin,Buffalo,13587,13245
Georgia,Burke,23316,22632
North Carolina,Burke,90912,89341
North Dakota,Burke,1968,2344
Alabama,Butler,20947,20162
Iowa,Butler,14867,14881
Kansas,Butler,65880,66249
Kentucky,Butler,12690,12734
Missouri,Butler,42794,42829
Nebraska,Butler,8395,8058
Ohio,Butler,368130,375998
Pennsylvania,Butler,183862,185936
California,Butte,220000,224631
Idaho,Butte,2891,2566
South Dakota,Butte,10110,10207
Louisiana,Caddo,254969,251345
Oklahoma,Caddo,29600,29433
Kentucky,Caldwell,12984,12748
Louisiana,Caldwell,10132,10045
Missouri,Caldwell,9424,9002
North Carolina,Caldwell,83029,81518
Texas,Caldwell,38066,40419
Alabama,Calhoun,118572,115469
Arkansas,Calhoun,5368,5200
Florida,Calhoun,14625,14406
Georgia,Calhoun,6694,6534
Illinois,Calhoun,5089,4860
Iowa,Calhoun,9670,9801
Michigan,Calhoun,136146,134327
Mississippi,Calhoun,14962,14639
South Carolina,Calhoun,15175,14759
Texas,Calhoun,21381,21887
West Virginia,Calhoun,7627,7463
Georgia,Camden,50513,52439
Missouri,Camden,44002,44735
New Jersey,Camden,513657,507638
North Carolina,Camden,9980,10282
Louisiana,Cameron,6839,6825
Pennsylvania,Cameron,5085,4776
Texas,Cameron,406220,419450
Kentucky,Campbell,90336,92124
South Dakota,Campbell,1466,1413
Tennessee,Campbell,40716,39772
Virginia,Campbell,54842,55356
Wyoming,Campbell,46133,49258
Montana,Carbon,10078,10403
Pennsylvania,Carbon,65249,63753
Utah,Carbon,21403,20391
Wyoming,Carbon,15885,15613
Maryland,Caroline,33066,32595
Virginia,Caroline,28545,29900
Arkansas,Carroll,27446,27755
Georgia,Carroll,110527,114461
Illinois,Carroll,15387,14642
Indiana,Carroll,20155,19887
Iowa,Carroll,20816,20423
Kentucky,Carroll,10811,10682
Maryland,Carroll,167134,167132
Mississippi,Carroll,10597,10203
Missouri,Carroll,9295,8879
New Hampshire,Carroll,47818,47399
Ohio,Carroll,28836,27718
Tennessee,Carroll,28522,27982
Virginia,Carroll,30042,29870
Kentucky,Carter,27720,27439
Missouri,Carter,6265,6280
Montana,Carter,1160,1147
Oklahoma,Carter,47557,48568
Tennessee,Carter,57424,56375
Illinois,Cass,13642,12843
Indiana,Cass,38966,38081
Iowa,Cass,13956,13351
Michigan,Cass,52293,51342
Minnesota,Cass,28567,28698
Missouri,Cass,99478,101339
Nebraska,Cass,25241,25421
North Dakota,Cass,149778,170722
Texas,Cass,30464,30140
Iowa,Cedar,18499,18254
Missouri,Cedar,13982,13782
Nebraska,Cedar,8852,8518
Alabama,Chambers,34215,33996
Texas,Chambers,35096,39028
Illinois,Champaign,201081,209382
Ohio,Champaign,40097,38963
Florida,Charlotte,159978,172382
Virginia,Charlotte,12586,12179
Kansas,Chase,2790,2656
Nebraska,Chase,3966,3963
Georgia,Chatham,265128,285959
North Carolina,Chatham,63505,68263
Kansas,Chautauqua,3669,3387
New York,Chautauqua,134905,130529
Alabama,Cherokee,25989,25732
Georgia,Cherokee,214346,235329
Iowa,Cherokee,12072,11483
Kansas,Cherokee,21603,20535
North Carolina,Cherokee,27444,27102
Oklahoma,Cherokee,46987,48376
South Carolina,Cherokee,55342,56512
Texas,Cherokee,50845,51568
Pennsylvania,Chester,498886,515055
South Carolina,Chester,33140,32410
Tennessee,Chester,17131,17123
South Carolina,Chesterfield,46734,46135
Virginia,Chesterfield,316236,334915
Colorado,Cheyenne,1836,1827
Kansas,Cheyenne,2726,2674
Nebraska,Cheyenne,9998,10137
Iowa,Chickasaw,12439,12151
Mississippi,Chickasaw,17392,17395
Michigan,Chippewa,38520,37973
Minnesota,Chippewa,12441,12084
