state,county,2010_population,2015_population,,FIPS
South Carolina,Abbeville,25417,24796,AbbevilleSouth Carolina,45001
Louisiana,Acadia,61773,62679,AcadiaLouisiana,22001
Virginia,Accomack,33164,32914,AccomackVirginia,51001
Idaho,Ada,392365,432862,AdaIdaho,16001
Iowa,Adair,7682,7145,AdairIowa,19001
Kentucky,Adair,18656,19162,AdairKentucky,21001
Missouri,Adair,25607,25353,AdairMissouri,29001
Oklahoma,Adair,22683,22259,AdairOklahoma,40001
Colorado,Adams,441603,490443,AdamsColorado,8001
Idaho,Adams,3976,3891,AdamsIdaho,16003
Illinois,Adams,67103,66835,AdamsIllinois,17001
Indiana,Adams,34387,34945,AdamsIndiana,18001
Iowa,Adams,4029,3754,AdamsIowa,19003
Mississippi,Adams,32297,31561,AdamsMississippi,28001
Nebraska,Adams,31364,31567,AdamsNebraska,31001
North Dakota,Adams,2343,2397,AdamsNorth Dakota,38001
Ohio,Adams,28550,27926,AdamsOhio,39001
Pennsylvania,Adams,101407,101808,AdamsPennsylvania,42001
Washington,Adams,18728,19233,AdamsWashington,53001
Wisconsin,Adams,20875,20028,AdamsWisconsin,55001
Vermont,Addison,36821,36929,AddisonVermont,50001
South Carolina,Aiken,160099,165688,AikenSouth Carolina,45003
Minnesota,Aitkin,16202,15852,AitkinMinnesota,27001
Florida,Alachua,247336,259052,AlachuaFlorida,12001
North Carolina,Alamance,151131,157037,AlamanceNorth Carolina,37001
California,Alameda,1510271,1634538,AlamedaCalifornia,6001
Colorado,Alamosa,15445,15894,AlamosaColorado,8003
New York,Albany,304204,307433,AlbanyNew York,36001
Wyoming,Albany,36299,37960,AlbanyWyoming,56001
Virginia,Albemarle,98970,105117,AlbemarleVirginia,51003
Michigan,Alcona,10942,10330,AlconaMichigan,26001
Mississippi,Alcorn,37057,37276,AlcornMississippi,28003
Alaska,AleutiansEast,3141,3373,AleutiansEastAlaska,2013
Alaska,AleutiansWest,5561,5781,AleutiansWestAlaska,2016
Illinois,Alexander,8238,6762,AlexanderIllinois,17003
North Carolina,Alexander,37198,36960,AlexanderNorth Carolina,37003
Virginia,AlexandriaCity,139966,153654,AlexandriaCityVirginia,51510
Oklahoma,Alfalfa,5642,5917,AlfalfaOklahoma,40003
Michigan,Alger,9601,9255,AlgerMichigan,26003
Iowa,Allamakee,14330,13874,AllamakeeIowa,19005
Michigan,Allegan,111408,114112,AlleganMichigan,26005
Maryland,Allegany,75087,72462,AlleganyMaryland,24001
New York,Allegany,48946,47334,AlleganyNew York,36003
North Carolina,Alleghany,11155,10856,AlleghanyNorth Carolina,37005
Virginia,Alleghany,16250,15425,AlleghanyVirginia,51005
Pennsylvania,Allegheny,1223348,1228827,AlleghenyPennsylvania,42003
Indiana,Allen,355329,367362,AllenIndiana,18003
