state,2010_population,2015_population
United States,309321666,320635163
Alabama,4785437,4852347
Alaska,713910,737498
Arizona,6407172,6829676
Arkansas,2921964,2978048
California,37319502,38918045
Colorado,5047349,5450623
Connecticut,3579114,3587122
Delaware,899593,941252
District of Columbia,605226,675400
Florida,18845537,20209042
Georgia,9711881,10178447
Hawaii,1363963,1422052
Idaho,1570746,1651059
Illinois,12840503,12858913
Indiana,6490432,6608422
Iowa,3050745,3120960
Kansas,2858190,2909011
Kentucky,4348181,4425976
Louisiana,4544532,4664628
Maine,1327629,1328262
Maryland,5788645,5985562
Massachusetts,6566307,6794228
Michigan,9877510,9931715
Minnesota,5310828,5482032
Mississippi,2970548,2988471
Missouri,5995974,6071732
Montana,990697,1030475
Nebraska,1829542,1891277
Nevada,2702405,2866939
New Hampshire,1316762,1336350
New Jersey,8799446,8867949
New Mexico,2064552,2089291
New York,19399878,19654666
North Carolina,9574323,10031646
North Dakota,674715,754066
Ohio,11539336,11617527
Oklahoma,3759944,3909500
Oregon,3837491,4015792
Pennsylvania,12711160,12784826
Rhode Island,1053959,1056065
South Carolina,4635649,4891938
South Dakota,816166,853988
Tennessee,6355311,6591170
Texas,25241971,27470056
Utah,2775332,2981835
Vermont,625879,625216
Virginia,8023699,8361808
Washington,6742830,7163657
West Virginia,1854239,1842050
Wisconsin,5690475,5760940
Wyoming,564487,585613
Puerto Rico,3721525,3473232
